Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Date of Launch,Expected Lifetime (Years),order,,,
NUDT Phonesat,China,Military,Technology Demonstration,LEO,0,516,536,0.00145,97.47,95.24,0,9/19/2015,,1,,,
AAUSat-4,Denmark,Civil,Earth Observation,LEO,0,442,687,0.0177,98.2,95.9,1,4/25/2016,,2,,,
ARC-1,USA,Civil,Technology Development,LEO,0,497,801,0.0217,64.78,97.71,1,10/8/2015,,3,,,
BeeSat-1,Germany,Civil,Technology Development,LEO,0,709,718,0.000635,98.3,99,1,9/23/2009,1 yr.,4,,,
BeeSat-2,Germany,Civil,Technology Development,LEO,0,555,579,0.00173,64.8,96.01,1,4/19/2013,1 yr.,5,,,
BeeSat-3,Germany,Civil,Technology Development,LEO,0,554,581,0.00195,64.8,96.01,1,4/19/2013,1 yr.,6,,,
BisonSat,USA,Civil,Earth Observation/Technology Development,LEO,0,497,801,0.0217,64.78,97.7,1,10/8/2015,,7,,,
Duchifat-1,Israel,Civil,Communications,LEO,0,601,623,0.00158,97.97,96.93,1,6/19/2014,,8,,,
e-st@r-2,Italy,Civil,Technology Development,LEO,0,442,687,0.0177,98.2,95.9,1,4/25/2016,,9,,,
Fox-1A,USA,Civil,Communications/Technology Development,LEO,0,496,802,0.0218,64.78,97.7,1,10/8/2015,11,10,,,
FUNCube-1 (AO-73),Netherlands,Civil,Communications,LEO,0,594,683,0.00635,97.8,97.4,1,11/21/2013,,11,,,
HumSat-D,Spain,Civil,Technology Development,LEO,0,590,640,0.00358,97.8,96.9,1,11/21/2013,,12,,,
ITU-pSAT1,Turkey,Civil,Technology Development,LEO,0,710,721,0.000776,98.4,99.1,1,9/23/2009,1 yr.,13,,,
KJSY-1,China,Civil,Technology Development,LEO,0,520,540,0.00145,97.46,95.23,1,9/19/2015,,14,,,
NPS-SCAT,USA,Government,Technology Development,LEO,0,426,441,0.0011,40.49,94.63,1,11/19/2013,,15,,,
OUFTI-1,Belgium,Civil,Technology Development,LEO,0,442,687,0.0177,98.2,95.9,1,4/25/2016,1 yr.,16,,,
Phonesat 2.4,USA,Government,Technology Development,LEO,0,499,507,0.000582,40.51,94.68,1,11/19/2013,,17,,,
PolyITAN-1,Ukraine,Civil,Technology Development,LEO,0,606,626,0.00143,97.99,97.03,1,6/19/2014,,18,,,
PropCube-1,USA,Military,Space Science,LEO,0,494,800,0.0218,64.78,97.66,1,10/8/2015,,19,,,
PropCube-3,USA,Military,Space Science,LEO,0,493,800,0.0219,64.78,97.65,1,10/8/2015,,20,,,
PUCPSat-1,Peru,Civil,Technology Development,LEO,0,589,640,0.00365,97.8,96.9,1,11/21/2013,,21,,,
Swayam,India,Civil,Technology Development,LEO,0,500,518,0.00131,97.5,94.7,1,6/22/2016,,22,,,
SwissCube,Switzerland,Civil,Technology Development,LEO,0,710,720,0.000706,98.3,99.1,1,9/23/2009,.25-1 yr.,23,,,
TIGRISat,Iraq,Civil,Earth Observation,LEO,0,611,698,0.00619,97.98,97.82,1,6/19/2014,,24,,,
TISat-1,Switzerland,Civil,Technology Development,LEO,0,611,631,0.00143,98,97.1,1,7/12/2010,,25,,,
UWE-3,Germany,Civil,Communications,LEO,0,593,700,0.00762,97.8,97.6,1,11/21/2013,,26,,,
XC-1,China,Government,Technology Development,LEO,0,520,540,0.00119,97.46,95.23,1,9/19/2015,,27,,,
XC-2,China,Government,Technology Development,LEO,0,520,540,0.00119,97.46,95.23,1,9/19/2015,,28,,,
XC-3,China,Government,Technology Development,LEO,0,520,540,0.00119,97.46,95.23,1,9/19/2015,,29,,,
XC-4,China,Government,Technology Development,LEO,0,520,540,0.00119,97.46,95.23,1,9/19/2015,,30,,,
ZACube-1,South Africa,Civil,Technology Development,LEO,0,594,683,0.00635,97.8,94.4,1,11/21/2013,,31,,,
Zijing 1,China,Civil,Technology Development,LEO,0,520,540,0.00145,97.46,95.23,1,9/19/2015,,32,,,
Aerocube 5C,USA,Commercial,Technology Development,LEO,0,500,802,0.0215,64.78,97.74,2,10/8/2015,,33,,,
Aerocube 7A,USA,Commercial,Technology Development,LEO,0,500,802,0.0215,64.6,97.4,2,10/8/2015,,34,,,
AntelSat,Uruguay,Civil,Technology Development,LEO,0,612,696,0.00598,97.96,96.99,2,6/19/2014,,35,,,
Cubebug 1,Argentina,Civil,Technology Development,LEO,0,630,653,0.00164,98.05,97.55,2,4/26/2013,,36,,,
Cubebug 2,Argentina,Civil,Technology Development,LEO,0,594,715,0.00861,97.8,97.8,2,11/21/2013,,37,,,
Firebird-A,USA,Government/Civil,Space Science,LEO,0,443,886,0.0315,120.3,98,2,12/6/2013,3,38,,,
Firebird-B,USA,Government/Civil,Space Science,LEO,0,443,886,0.0315,120.3,98,2,12/6/2013,3,39,,,
Firebird-C,USA,Government/Civil,Space Science,LEO,0,437,667,0.0166,99.1,95.7,2,1/31/2015,0.25,40,,,
Firebird-D,USA,Government/Civil,Space Science,LEO,0,444,675,0.0167,99.1,97.7,2,1/31/2015,0.25,41,,,
M-Cubed/E1P-U2,USA,Civil,Technology Development,LEO,0,442,724,0.0203,101.7,97.45,2,10/28/2011,,42,,,
QB50Pl,Belgium,Civil,Space Science,LEO,0,605,621,0.00115,97.98,96.96,2,6/19/2014,,43,,,
QB50P2,Belgium,Civil,Space Science,LEO,0,607,622,0.00107,97.98,96.98,2,6/19/2014,,44,,,
SAMSAT 218D,Russia,Civil,Technology Development,LEO,0,467,486,0.00139,97.27,94.13,2,4/27/2016,,45,,,
Sathyabamasat,India,Civil,Earth Science,LEO,0,501,517,0.00116,97.5,94.8,2,6/22/2016,,46,,,
SINOD D-1,USA,Commercial,Technology Demonstration,LEO,0,494,800,0.0218,64.78,97.67,2,10/8/2015,,47,,,
SINOD D-3,USA,Commercial,Technology Demonstration,LEO,0,494,800,0.0218,64.78,97.66,2,10/8/2015,,48,,,
XW-2E,China,Civil,Communications,LEO,0,519,538,0.00138,97.46,95.2,2,9/19/2015,,49,,,
XW-2F,China,Civil,Communications,LEO,0,520,540,0.00145,97.46,95.23,2,9/19/2015,,50,,,
Aeneas,USA,Government,Technology Development,LEO,0,480,790,0.0221,0.02,97.4,3,9/13/2012,,51,,,
CINEMA-1,USA,Civil,Space Science,LEO,0,484,791,0.0219,64.6,97.4,3,9/13/2012,,52,,,
CSSWE,USA,Civil,Earth Science,LEO,0,479,791,0.0223,64.6,97.4,3,9/13/2012,1 yr.,53,,,
DCBB,China,Civil,Technology Development,LEO,0,514,536,0.0016,97.46,95.13,3,9/19/2015,,54,,,
Firefly,USA,Government/Civil,Earth Science,LEO,0,437,449,0.000881,40.5,94.68,3,11/19/2013,1 yr.,55,,,
Galassia,Singapore,Civil,Earth Science,LEO,0,529,549,0.00145,14.98,95.43,3,12/16/2015,,56,,,
GOMX-3,Denmark,Commercial,Technology Development,LEO,0,394,409,0.00111,51.64,92.6,3,10/5/2015,,57,,,
Jugnu,India,Civil,Earth Observation,LEO,0,839,866,0.00187,20,102,3,10/12/2011,1 yr.,58,,,
KKS-1,Japan,Civil,Technology Development,LEO,0,651,667,0.00114,98.03,97.92,3,1/23/2009,1 yr.,59,,,
LMRSTSat,USA,Government,Technology Demonstration,LEO,0,493,800,0.0219,64.78,97.65,3,10/8/2015,,60,,,
OPTOS,Spain,Government,Technology Development,LEO,0,594,797,0.0144,97.8,98.7,3,11/21/2013,,61,,,
Popsat-HIP,Singapore,Commercial,Technology Development,LEO,0,604,623,0.00136,97.99,96.97,3,6/19/2014,,62,,,
SEEDS 2,Japan,Civil,Technology Development,LEO,0,607,627,0.00143,97.8,97,3,4/28/2008,,63,,,
SMDC-ONE 1.2,USA,Military,Technology Development,LEO,0,483,789,0.0218,64.6,97.4,3,9/13/2012,,64,,,
STARE-B,USA,Military,Space Science,LEO,0,500,506,0.000436,40.5,94.6,3,11/19/2013,,65,,,
TW-1A,China,Civil,Technology Development,LEO,0,466,484,0.00131,97.31,94.1,3,9/24/2015,,66,,,
TW-1B,China,Civil,Technology Development,LEO,0,466,485,0.00139,97.32,94.1,3,9/24/2015,,67,,,
Ukube-1,United Kingdom,Government,Technology Development,LEO,0,626,631,0.000357,98.4,97.27,3,7/8/2014,,68,,,
Wren,Germany,Commercial,Technology Development,LEO,0,593,640,0.00336,97.8,97.3,3,11/21/2013,,69,,,
CP-10,USA,Civil,Earth Observation,LEO,0,441,657,0.0156,99.1,95.6,4,1/31/2015,,70,,,
Dove 1c-1,USA,Commercial,Earth Observation,LEO,0,605,621,0.00115,97.99,96.96,4,6/19/2014,,71,,,
Dove 1c-10,USA,Commercial,Earth Observation,LEO,0,604,621,0.00122,97.99,96.95,4,6/19/2014,,72,,,
Dove 1c-11,USA,Commercial,Earth Observation,LEO,0,606,622,0.00115,97.99,96.98,4,6/19/2014,,73,,,
Dove 1c-2,USA,Commercial,Earth Observation,LEO,0,605,623,0.00129,97.99,96.98,4,6/19/2014,,74,,,
Dove 1c-3,USA,Commercial,Earth Observation,LEO,0,608,624,0.00115,97.99,97.02,4,6/19/2014,,75,,,
Dove 1c-4,USA,Commercial,Earth Observation,LEO,0,607,622,0.00107,97.99,96.98,4,6/19/2014,,76,,,
Dove 1c-5,USA,Commercial,Earth Observation,LEO,0,606,625,0.00136,97.99,97.01,4,6/19/2014,,77,,,
Dove 1c-6,USA,Commercial,Earth Observation,LEO,0,607,622,0.00107,97.99,96.99,4,6/19/2014,,78,,,
Dove 1c-7,USA,Commercial,Earth Observation,LEO,0,606,620,0.001,97.99,96.96,4,6/19/2014,,79,,,
Dove 1c-8,USA,Commercial,Earth Observation,LEO,0,607,625,0.00129,97.99,97.02,4,6/19/2014,,80,,,
Dove 1c-9,USA,Commercial,Earth Observation,LEO,0,607,623,0.00115,97.99,96.99,4,6/19/2014,,81,,,
Dove 1e-10,USA,Commercial,Earth Observation,LEO,0,398,401,0.000222,51.6,92.55,4,7/15/2015,,82,,,
Dove 1e-11,USA,Commercial,Earth Observation,LEO,0,396,402,0.000443,51.6,92.54,4,7/15/2015,,83,,,
Dove 1e-12,USA,Commercial,Earth Observation,LEO,0,396,402,0.000443,51.6,92.54,4,7/15/2015,,84,,,
Dove 1e-13,USA,Commercial,Earth Observation,LEO,0,395,401,0.000443,51.6,92.55,4,7/16/2015,,85,,,
Dove 1e-14,USA,Commercial,Earth Observation,LEO,0,395,403,0.000591,51.6,92.53,4,7/16/2015,,86,,,
Dove 1e-6,USA,Commercial,Earth Observation,LEO,0,396,403,0.000517,51.6,92.55,4,7/15/2015,,87,,,
Dove 1e-7,USA,Commercial,Earth Observation,LEO,0,396,402,0.000443,51.6,92.54,4,7/14/2015,,88,,,
Dove 2b-1,USA,Commercial,Earth Observation,LEO,0,400,403,0.000222,51.65,92.6,4,10/6/2015,,89,,,
Dove 2b-10,USA,Commercial,Earth Observation,LEO,0,395,408,0.00096,51.64,92.6,4,10/7/2015,,90,,,
Dove 2b-13,USA,Commercial,Earth Observation,LEO,0,397,407,0.000738,51.64,92.6,4,10/7/2015,,91,,,
Dove 2b-14,USA,Commercial,Earth Observation,LEO,0,398,406,0.000591,51.64,92.6,4,10/7/2015,,92,,,
Dove 2b-2,USA,Commercial,Earth Observation,LEO,0,398,406,0.000591,51.64,92.6,4,10/6/2015,,93,,,
Dove 2b-3,USA,Commercial,Earth Observation,LEO,0,399,405,0.000443,51.64,92.6,4,10/6/2015,,94,,,
Dove 2b-4,USA,Commercial,Earth Observation,LEO,0,401,403,0.000148,51.63,92.6,4,10/6/2015,,95,,,
Dove 2b-5,USA,Commercial,Earth Observation,LEO,0,396,409,0.00096,51.65,92.61,4,10/6/2015,,96,,,
Dove 2b-6,USA,Commercial,Earth Observation,LEO,0,396,409,0.00096,51.65,92.61,4,10/6/2015,,97,,,
Dove 2b-7,USA,Commercial,Earth Observation,LEO,0,396,408,0.000886,51.64,92.6,4,10/6/2015,,98,,,
Dove 2b-9,USA,Commercial,Earth Observation,LEO,0,396,408,0.000886,51.64,92.6,4,10/7/2015,,99,,,
Dove 2e-1,USA,Commercial,Earth Observation,LEO,0,404,407,0.000221,51.6,92.6,4,5/17/2016,,100,,,
Dove 2e-2,USA,Commercial,Earth Observation,LEO,0,403,406,0.000221,51.6,92.6,4,5/17/2016,,101,,,
Dove 2e-3,USA,Commercial,Earth Observation,LEO,0,404,408,0.000295,51.6,92.5,4,5/17/2016,,102,,,
Dove 2e-4,USA,Commercial,Earth Observation,LEO,0,402,407,0.000369,51.6,92.5,4,5/17/2016,,103,,,
Dove 2ep-1,USA,Commercial,Earth Observation,LEO,0,399,402,0.000222,51.6,92.5,4,5/17/2016,,104,,,
Dove 2ep-2,USA,Commercial,Earth Observation,LEO,0,400,401,7.38E-05,51.6,92.5,4,5/17/2016,,105,,,
Dove 2ep-3,USA,Commercial,Earth Observation,LEO,0,398,402,0.000295,51.6,92.5,4,5/17/2016,,106,,,
Dove 2ep-4,USA,Commercial,Earth Observation,LEO,0,399,402,0.000222,51.6,92.5,4,5/17/2016,,107,,,
Dove 2p-1,USA,Commercial,Earth Observation,LEO,0,500,513,0.000945,97.51,94.75,4,6/22/2016,,108,,,
Dove 2p-2,USA,Commercial,Earth Observation,LEO,0,499,516,0.00124,97.51,94.77,4,6/22/2016,,109,,,
Dove 2p-3,USA,Commercial,Earth Observation,LEO,0,500,514,0.00102,97.51,94.75,4,6/22/2016,,110,,,
Dove 2p-4,USA,Commercial,Earth Observation,LEO,0,499,514,0.00109,97.51,94.76,4,6/22/2016,,111,,,
Dove 2p-5,USA,Commercial,Earth Observation,LEO,0,500,514,0.00102,97.51,94.75,4,6/22/2016,,112,,,
Dove 2p-6,USA,Commercial,Earth Observation,LEO,0,500,514,0.00102,97.51,94.75,4,6/22/2016,,113,,,
Dove 2p-7,USA,Commercial,Earth Observation,LEO,0,500,514,0.00102,97.51,94.75,4,6/22/2016,,114,,,
